,baseline_C1,C1,baseline_C2,C2,baseline_F1,F1,baseline_F2,F2,baseline_V1,V1,baseline_V2,V2,baseline_V3,V3,baseline_V4,V4
bpm,71.26626730014459,69.58103575692115,69.89304246531822,70.23032885101851,71.45125436646555,69.14997716746036,72.80016881198566,69.30592306126603,76.77543186180422,72.4998223043571,67.18241042345277,71.02732765263616,70.70166041778253,69.19878659830783,71.86411149825784,69.47481413747863
ibi,841.9130434782609,862.3039215686274,858.4545454545455,854.3317535545024,839.7333333333333,867.6792452830189,824.1739130434783,865.7268722466961,781.5,827.5882352941177,893.0909090909091,844.7452830188679,848.6363636363636,867.0672268907563,834.9090909090909,863.6223175965665
sdnn,42.84036398525827,34.37403523514209,53.91552927979712,33.13027404146376,14.158468215955505,37.48875231817936,68.5829565429076,30.845577159542096,33.24279370530301,30.36101503805028,75.94669727148299,45.263080319552266,13.556432403259063,48.590421833840225,26.130631782553056,44.913209769466796
sdsd,14.544602247756881,15.703425992615582,31.28045907881478,15.348102913342375,7.3844845618971915,16.633653279394323,24.910583896862885,16.063497328812517,13.752332677195975,13.092917728651132,40.30180923562116,15.274022000571515,10.789261479142404,20.737386602924637,9.7655045627494,15.973053911150293
rmssd,23.92792206911111,26.86143975688585,38.18750730652256,26.42005010629328,10.474458731327633,29.076137999188738,29.655598888819384,28.257664008570117,20.51086668509922,23.273486468808088,50.01523577395002,24.544765177738647,17.004201161561728,30.790156791972684,14.960264830861911,27.291845441197392
pnn20,0.4090909090909091,0.43349753694581283,0.2857142857142857,0.45714285714285713,0.07142857142857142,0.5118483412322274,0.18181818181818182,0.49557522123893805,0.21739130434782608,0.39901477832512317,0.38095238095238093,0.3696682464454976,0.19047619047619047,0.4472573839662447,0.09523809523809523,0.45689655172413796
pnn50,0.0,0.03940886699507389,0.09523809523809523,0.05714285714285714,0.0,0.05687203791469194,0.09090909090909091,0.0752212389380531,0.043478260869565216,0.014778325123152709,0.14285714285714285,0.052132701421800945,0.0,0.05485232067510549,0.0,0.04741379310344827
hr_mad,26.0,22.0,12.0,24.0,4.0,25.0,12.0,22.0,15.0,20.0,20.0,28.0,9.0,27.0,12.0,26.0
sd1,16.916542834976752,18.991652390989398,26.344310120725527,18.68055362938226,7.30669248716824,20.559654673243237,19.421914009737886,19.981106472529287,14.342818625526983,16.4548213120107,35.1571786536456,17.354961024939662,12.020768120762996,21.771829716649325,10.312575156051292,19.29803236629226
sd2,58.984414526422086,44.52609381209308,64.2548779658294,42.94105858582966,17.971632976352854,48.978241389893554,83.94579616761565,38.84414510647874,43.44607504335654,39.58257160984017,101.36367250799664,61.51228049972179,15.452362609131397,65.30067570697814,33.17363103307155,60.63249628807693
s,3134.7200267481226,2656.6064477167897,5317.932321221706,2520.06859551912,412.53257077489184,3163.5075540743246,5122.0150721458795,2438.343993999559,1957.649452263947,2046.1951424710578,11195.570411204953,3353.7859707298976,583.5485352631052,4466.450002289829,1074.7563241882333,3675.939474719301
sd1/sd2,0.2867968254122279,0.4265285985143245,0.4099970454342062,0.43502778563420774,0.40656808965453584,0.419771190018383,0.23136255651156015,0.5143917163772688,0.3301292144621516,0.4157087486433058,0.3468419975694155,0.2821381500401071,0.7779242841259408,0.3334089499218268,0.3108666381973818,0.318278704452535
breathingrate,0.1549266680437926,0.3,0.21179709837975222,0.3333333333333333,0.07939028262940616,0.3,0.21101498206372654,0.3,0.10663254425250586,0.3,0.10179153094462541,0.3333333333333333,0.26780931976432776,0.16666666666666666,0.10888501742160278,0.3
vlf,0.0,325.44845160087016,0.0,324.7816639221462,0.0,495.9371377475845,0.0,239.31262634015636,0.0,344.45014614265585,0.0,946.3855045981668,0.0,295.65909987689344,0.0,321.06235520644157
lf,668.7404113625103,556.1289559621757,44.29797565950706,125.21466680930314,0.0,190.43954609542556,255.04442517690163,241.22804659775963,365.9949088801328,198.15596877345467,315.9977162441907,155.75954677937716,30.884154266823636,423.3957938696593,108.09311832858211,376.88358129569906
hf,385.7312880968013,315.740014737275,126.86005199604026,196.93375725319385,8.585052608858001,283.60677162549916,35.98057537776483,222.48342186548945,128.66593829876643,184.65185318887418,107.86851181627276,145.84737494567312,81.95587148673182,188.2992366819299,17.43381099215737,230.53157629227576
lf/hf,1.7336950151544004,1.7613508899875319,0.3491877463591908,0.6358212454572586,0.0,0.6714915338724694,7.088392069864264,1.0842517818860362,2.844536119810364,1.0731328462258518,2.929471362156311,1.0679626344827682,0.37683882443765604,2.248526342062917,6.200200195884192,1.6348458087922553
p_total,1054.4716994593116,1197.317422300321,171.1580276555473,646.9300879846433,8.585052608858001,969.9834554685092,291.02500055466646,703.0240948034054,494.66084717889925,727.2579681049847,423.86622806046347,1247.9924263232172,112.84002575355547,907.3541304284827,125.52692932073947,928.4775127944164
vlf_perc,0.0,27.181467966582257,0.0,50.203518116451534,0.0,51.128412031321005,0.0,34.040458656979325,0.0,47.362856269583304,0.0,75.83263204460046,0.0,32.5847527400656,0.0,34.57944331254162
lf_perc,63.41947457721359,46.4479131101028,25.88133099351671,19.355208411990798,0.0,19.633277765901877,87.6366032783475,34.31291308233425,73.98905956827566,27.246998653007473,74.55128418466839,12.48080865668948,27.369857513392592,46.66268435563497,86.11149728070583,40.59156803500837
hf_perc,36.5805254227864,26.37061892331493,74.1186690064833,30.44127347155766,100.0,29.238310202777118,12.363396721652508,31.646628260686427,26.010940431724336,25.390145077409237,25.44871581533162,11.686559298710051,72.6301424866074,20.752562904299424,13.888502719294166,24.828988652450015
